X,CH1,Start,Increment
743,,0.00001486,7.81E-02
744,,0.00001488,1.07E-01
745,,0.0000149,7.35E-02
746,,0.00001492,1.09E-01
747,,0.00001494,7.50E-02
748,,0.00001496,1.12E-01
749,,0.00001498,6.58E-02
750,,0.000015,1.13E-01
751,,0.00001502,8.58E-02
752,,0.00001504,1.13E-01
753,,0.00001506,9.19E-02
754,,0.00001508,1.07E-01
755,,0.0000151,8.58E-02
756,,0.00001512,1.13E-01
757,,0.00001514,8.27E-02
758,,0.00001516,1.16E-01
759,,0.00001518,8.12E-02
760,,0.0000152,1.06E-01
761,,0.00001522,8.27E-02
762,,0.00001524,1.15E-01
763,,0.00001526,8.27E-02
764,,0.00001528,1.07E-01
765,,0.0000153,8.27E-02
766,,0.00001532,1.09E-01
767,,0.00001534,8.42E-02
768,,0.00001536,1.13E-01
769,,0.00001538,7.81E-02
770,,0.0000154,1.07E-01
771,,0.00001542,7.50E-02
772,,0.00001544,1.06E-01
773,,0.00001546,8.27E-02
774,,0.00001548,1.12E-01
775,,0.0000155,7.04E-02
776,,0.00001552,1.12E-01
777,,0.00001554,8.73E-02
778,,0.00001556,1.01E-01
779,,0.00001558,8.27E-02
780,,0.0000156,1.03E-01
781,,0.00001562,7.96E-02
782,,0.00001564,9.80E-02
783,,0.00001566,8.27E-02
784,,0.00001568,1.09E-01
785,,0.0000157,8.42E-02
786,,0.00001572,1.09E-01
787,,0.00001574,7.81E-02
788,,0.00001576,1.15E-01
789,,0.00001578,7.96E-02
790,,0.0000158,1.07E-01
791,,0.00001582,7.66E-02
792,,0.00001584,1.07E-01
793,,0.00001586,8.27E-02
794,,0.00001588,1.09E-01
795,,0.0000159,7.81E-02
796,,0.00001592,1.18E-01
797,,0.00001594,8.42E-02
798,,0.00001596,1.04E-01
799,,0.00001598,7.66E-02
800,,0.000016,1.18E-01
801,,0.00001602,7.96E-02
802,,0.00001604,1.12E-01
803,,0.00001606,8.12E-02
804,,0.00001608,1.06E-01
805,,0.0000161,8.12E-02
806,,0.00001612,1.10E-01
807,,0.00001614,8.12E-02
808,,0.00001616,1.06E-01
809,,0.00001618,8.12E-02
810,,0.0000162,1.15E-01
811,,0.00001622,7.81E-02
812,,0.00001624,1.10E-01
813,,0.00001626,8.42E-02
814,,0.00001628,1.09E-01
815,,0.0000163,7.96E-02
816,,0.00001632,1.09E-01
817,,0.00001634,7.66E-02
818,,0.00001636,1.09E-01
819,,0.00001638,7.66E-02
820,,0.0000164,1.09E-01
821,,0.00001642,8.12E-02
822,,0.00001644,1.26E-01
823,,0.00001646,8.58E-02
824,,0.00001648,1.15E-01
825,,0.0000165,7.20E-02
826,,0.00001652,1.04E-01
827,,0.00001654,7.50E-02
828,,0.00001656,1.12E-01
829,,0.00001658,8.73E-02
830,,0.0000166,1.09E-01
831,,0.00001662,8.27E-02
832,,0.00001664,1.10E-01
833,,0.00001666,8.58E-02
834,,0.00001668,1.09E-01
835,,0.0000167,8.58E-02
836,,0.00001672,1.13E-01
837,,0.00001674,8.42E-02
838,,0.00001676,1.03E-01
839,,0.00001678,7.35E-02
840,,0.0000168,1.04E-01
841,,0.00001682,7.81E-02
842,,0.00001684,1.10E-01
843,,0.00001686,8.27E-02
844,,0.00001688,1.07E-01
845,,0.0000169,7.50E-02
846,,0.00001692,1.13E-01
847,,0.00001694,7.81E-02
848,,0.00001696,1.10E-01
849,,0.00001698,7.35E-02
850,,0.000017,1.03E-01
851,,0.00001702,7.81E-02
852,,0.00001704,1.06E-01
853,,0.00001706,7.66E-02
854,,0.00001708,9.80E-02
855,,0.0000171,7.66E-02
856,,0.00001712,1.07E-01
857,,0.00001714,7.81E-02
858,,0.00001716,1.03E-01
859,,0.00001718,8.73E-02
860,,0.0000172,1.04E-01
861,,0.00001722,8.88E-02
862,,0.00001724,1.01E-01
863,,0.00001726,8.12E-02
864,,0.00001728,1.06E-01
865,,0.0000173,8.42E-02
866,,0.00001732,1.13E-01
867,,0.00001734,9.03E-02
868,,0.00001736,1.03E-01
